learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CFPS-CFR_EX+IN  2.23799  3.80024  2.54711  0.14513  2.06045  4.35798  3.52587  2.95717  1.86756  2.04586  
TIPS-CFR_EX+IN  1.83298  2.29882  3.69311  0.567724  2.15305  3.12516  3.33886  3.01935  2.14622  2.67679  
t = 20
CFR  1.42007  3.05841  2.50146  0.271598  2.46099  3.5445  3.79714  3.4419  2.91414  2.3117  
CFR_EX+IN  2.74546  2.99947  3.10396  0.184851  1.83386  5.69235  3.34652  3.18132  3.93804  2.23022  
CFR_IN  4.8672  4.31752  0.197007  0.55052  4.57363  0.44233  6.90181  0.430192  4.38077  3.83337  
A-CFR_IN  0.609899  0.282149  0.489494  0.322418  0.540978  0.618433  0.584104  0.159726  0.254393  0.508944  
BPS-CFR  2.39337  1.48046  2.73671  0.388351  2.0775  3.93829  3.33724  2.67002  2.13983  0.810635  
TIPS-CFR  2.50481  3.99429  0.750412  0.47626  3.28123  0.414261  0.577003  0.628364  5.08562  3.88072  
CSPS-CFR  6.13075  5.10164  6.16506  0.0964994  3.49198  0.62832  1.22566  3.16539  3.99142  4.00562  
CFPS-CFR  3.51452  4.10467  0.31194  0.44695  4.92829  0.612594  2.86495  0.819399  3.42617  4.64276  
CFPS-CFR_EX+IN  2.38129  4.51333  2.93084  0.150168  2.15334  3.59445  3.78248  3.35733  2.11054  2.42087  
TIPS-CFR_EX+IN  2.04011  2.18068  3.38426  0.540501  2.22203  3.20655  3.1031  3.04951  2.11297  2.64765  
t = 21
CFR  1.63969  3.1527  2.68861  0.139989  1.45547  3.98272  3.92651  3.0486  3.04946  2.29938  
CFR_EX+IN  2.62858  3.10864  2.89858  0.259532  1.87132  4.81232  3.82794  3.06921  3.40646  2.26612  
CFR_IN  4.81841  4.7123  0.192994  0.482115  4.60787  0.378914  6.3555  0.369985  4.22574  3.50994  
A-CFR_IN  1.02075  0.196324  0.521135  0.320828  0.58666  0.668872  0.652197  0.289503  0.223291  0.597321  
BPS-CFR  2.71052  1.5665  2.53519  0.397244  2.07116  4.74054  3.18557  2.57408  2.1735  0.844677  
TIPS-CFR  2.52689  4.13253  0.787342  0.501942  3.22435  0.418883  0.370908  0.65897  5.45989  3.41371  
CSPS-CFR  6.03491  4.37321  6.3802  0.143727  3.47225  0.859483  1.2548  3.43354  3.65242  3.889  
CFPS-CFR  4.15214  4.21138  0.371679  0.430268  4.88044  0.921826  2.71389  0.90413  2.85233  4.67678  
CFPS-CFR_EX+IN  2.48415  5.07503  3.17722  0.172569  2.14275  3.6914  4.12371  2.93813  2.31235  2.6061  
TIPS-CFR_EX+IN  2.17518  2.10562  3.37073  0.483329  2.27935  3.63591  3.14437  3.13192  2.07813  2.67889  
t = 22
CFR  1.77859  3.09773  2.87727  0.214486  1.87794  3.53036  3.95739  2.39576  3.27163  2.1681  
