learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFPS-EFR_EX+IN  (-0.0133941, 23)  (-0.0108655, 46)  (0.120522, 52)  (0.166651, 53)  (-0.00988896, 36)  (0.125837, 54)  (0.101265, 61)  (0.129928, 55)  (-5.20417e-18, 35)  (-0.00505227, 32)  (0.123027, 33)  
TIPS-EFR_EX+IN  (-0.0104811, 23)  (-0.00610237, 47)  (0.123512, 52)  (0.172036, 52)  (-0.00647205, 36)  (0.129095, 54)  (0.104621, 64)  (0.132862, 54)  (0.00540488, 36)  (-4.01155e-18, 32)  (0.127046, 33)  
BEHAV-EFR  (-0.0129021, 23)  (-0.0217498, 47)  (-0.0192638, 51)  (0.0173064, 53)  (-0.013019, 37)  (-0.0185162, 54)  (-0.0317477, 62)  (-0.0156396, 54)  (-0.0168434, 36)  (-0.0192427, 32)  (6.93889e-18, 33)  
BR  (0.183458, 16)  (0.254105, 31)  (0.518617, 34)  (0.582999, 36)  (0.217642, 26)  (0.523298, 38)  (0.441539, 42)  (0.532223, 37)  (0.287998, 24)  (0.277472, 21)  (0.500704, 21)  
t = 7
CFR  (5.96311e-19, 23)  (0.00902999, 45)  (0.126415, 52)  (0.203556, 55)  (0.00703705, 36)  (0.132339, 53)  (0.0853306, 60)  (0.147896, 57)  (0.0319115, 38)  (0.0226801, 34)  (0.15234, 32)  
CFR_EX+IN  (-0.0051386, 23)  (5.69206e-18, 45)  (0.0880885, 52)  (0.154091, 57)  (-0.0018416, 37)  (0.0937405, 53)  (0.0570128, 60)  (0.106722, 58)  (0.0116465, 41)  (0.00604413, 34)  (0.112632, 32)  
CFR_IN  (-0.0076258, 23)  (-0.00456247, 45)  (0, 52)  (0.0479964, 55)  (-0.00784189, 37)  (0.00604624, 53)  (-0.016637, 61)  (0.0116332, 58)  (-0.00216397, 42)  (-0.0051133, 34)  (0.0211494, 32)  
A-EFR_IN  (-0.0117973, 23)  (-0.0172861, 45)  (-0.046243, 52)  (3.46945e-18, 56)  (-0.0137054, 38)  (-0.0378278, 52)  (-0.0562343, 60)  (-0.0363594, 57)  (-0.0187466, 42)  (-0.0197577, 34)  (-0.0226249, 32)  
BPS-EFR  (-0.00441511, 23)  (-0.00257985, 44)  (0.107526, 53)  (0.178083, 56)  (-6.39679e-18, 36)  (0.112861, 52)  (0.0717965, 61)  (0.127174, 56)  (0.0138025, 42)  (0.0070621, 34)  (0.131079, 32)  
