learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CFPS-CFR_EX+IN  -0.113176  -0.00117973  0.12299  0.125274  0.0830784  0.0960632  -0.0125764  0.108287  -0.168892  0.0829316  
TIPS-CFR_EX+IN  -0.118834  -0.00310857  0.170883  0.15895  0.0709491  0.123265  0.037868  0.155433  -0.191757  0.0869598  
BR  0.207937  0.168241  0.317107  0.258333  0.313934  0.268717  0.299314  0.301597  0.0440229  0.252126  
t = 13
CFR  0.004764  -0.0225109  0.126724  0.158835  0.0851164  0.123118  0.0491376  0.126247  -0.184727  0.114425  
CFR_EX+IN  0.0413782  0.0607811  0.133484  0.155549  0.0992621  0.104333  0.0524254  0.122375  -0.175857  0.0930701  
CFR_IN  0.0679357  0.00134565  0.13752  0.140199  0.0704299  0.0996944  0.0484772  0.133577  -0.194257  -0.0195929  
A-CFR_IN  0.033046  0.000353611  0.147182  0.1  0.0438435  0.0825693  0.055383  0.065087  -0.189048  -0.0501113  
BPS-CFR  0.00237811  -0.029574  0.138476  0.157771  0.0811646  0.123031  0.0485309  0.131234  -0.185361  0.114425  
TIPS-CFR  0.0491487  -0.0224641  0.223404  0.156173  0.0470426  0.1117  0.0819704  0.126611  -0.208234  0.0174527  
CSPS-CFR  0.0436436  0.0358115  0.275176  0.18991  0.0309618  0.157634  0.057783  0.204644  -0.187569  0.0235005  
CFPS-CFR  0.0636326  -0.00469747  0.170844  0.136252  0.0712058  0.0917321  0.0618424  0.120878  -0.192329  -0.0315553  
CFPS-CFR_EX+IN  0.0407849  0.0536758  0.145194  0.153128  0.0991038  0.104579  0.0518498  0.123474  -0.176593  0.0861142  
TIPS-CFR_EX+IN  0.0400961  0.050196  0.211869  0.192514  0.0920832  0.218082  0.049747  0.187923  -0.177399  0.0985243  
BR  0.156537  0.177968  0.411124  0.258333  0.306505  0.353195  0.315089  0.349722  0.154424  0.278356  
t = 14
CFR  0.058827  2.09597e-05  0.130554  0.178894  0.0860362  0.0800473  0.00154694  -0.00513812  -0.186626  0.1  
CFR_EX+IN  0.0929578  0.0632997  0.145045  0.181683  0.128431  0.0763549  0.0177969  -0.00670321  -0.177271  0.1  
CFR_IN  0.0923189  0.0610499  0.158043  0.172953  0.138882  0.0866655  0.0199747  0.00224305  -0.171097  0.0383642  
A-CFR_IN  0.098429  0.0775016  0.091637  0.1  -0.0136615  0.0814075  0.0458869  0.0882838  -0.197145  0.0367733  
BPS-CFR  0.0567955  -0.00343806  0.169354  0.180976  0.0812492  0.0894578  0.00725016  0.0159355  -0.173793  0.1  
TIPS-CFR  0.0900174  0.0512703  0.224878  0.189809  0.124613  0.0751584  0.0200783  0.121702  -0.173964  0.0317194  
