learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CFR_EX+IN  0.111582  1.29789  0.188008  0.106418  0.1  0.108171  0.158453  0.11046  0.203911  0.1695  
CFR_IN  0.104425  0.82455  0.131439  0.117754  0.1  0.119744  0.0875979  0.110816  0.223151  0.055221  
A-CFR_IN  0.142273  0.593221  0.183574  0.1  0.134942  0.0828616  0.100265  0.153764  0.171956  -0.0276129  
BPS-CFR  0.105544  1.35492  0.170683  0.115074  0.1  0.112361  0.162722  0.10775  0.132448  0.115569  
TIPS-CFR  0.098209  0.897189  0.278618  0.145263  0.1  0.146807  0.0882293  0.161548  0.22038  0.0524493  
CSPS-CFR  0.106362  1.47904  0.222352  0.156138  0.1  0.18004  0.165639  0.178259  0.130854  0.178646  
CFPS-CFR  0.0994165  0.880293  0.20569  0.118852  0.1  0.120713  0.0874356  0.120084  0.218843  0.0512214  
CFPS-CFR_EX+IN  0.104777  1.35633  0.192264  0.112691  0.1  0.116254  0.155462  0.110052  0.186422  0.165968  
TIPS-CFR_EX+IN  0.10381  1.43004  0.232227  0.173778  0.1  0.171036  0.15264  0.172788  0.185838  0.163766  
BR  0.442281  2.14182  0.406294  0.299  0.566148  0.414977  0.914117  0.35172  0.520287  0.483488  
t = 13
CFR  0.1  1.35595  0.188857  0.155376  0.1  0.0834893  0.31806  0.0356299  0.174447  0.143338  
CFR_EX+IN  0.0857  1.35375  0.216616  0.153443  0.147535  0.10884  0.336543  0.0482904  0.200747  0.159942  
CFR_IN  0.169202  1.18449  0.181252  0.149716  0.203708  0.0895876  0.107573  0.0309042  0.138415  0.085182  
A-CFR_IN  0.205296  0.914  0.101727  0.1  0.261138  0.125869  0.153836  0.0580952  0.0880064  0.0507355  
BPS-CFR  0.0761683  1.58473  0.201223  0.158058  0.1  0.09641  0.287531  0.0386014  0.192087  0.142669  
TIPS-CFR  0.156421  1.41026  0.274344  0.193925  0.205136  0.140666  0.110825  0.120414  0.13484  0.0780834  
