learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
TIPS-EFR_EX+IN  (-0.00381039, 39)  (-0.0012957, 58)  (0.331087, 40)  (0.320546, 52)  (-0.000711621, 50)  (0.323653, 57)  (0.197092, 58)  (0.324277, 45)  (0.000757517, 66)  (4.93312e-18, 65.5)  (0.359095, 65)  
BEHAV-EFR  (0.333925, 27)  (0.274237, 65)  (0.00353856, 47)  (0.152571, 52)  (0.340215, 27)  (-0.00305596, 68)  (0.0762582, 70)  (0.0047515, 60)  (0.280236, 67)  (0.276301, 73)  (1.21431e-17, 70)  
t = 5
CFR  (-8.94467e-18, 36)  (0.0440253, 46)  (0.296035, 24)  (0.430192, 42)  (0.010012, 40)  (0.329762, 18)  (0.744218, 17)  (0.252586, 39)  (0.0388783, 44)  (0.0395768, 56)  (0.422945, 46)  
CFR_EX+IN  (0.0289819, 40)  (-3.1984e-18, 59)  (0.318016, 43)  (0.167216, 52)  (0.054633, 55)  (0.322198, 59)  (0.433717, 64)  (0.298437, 57)  (0.0066418, 65)  (0.00300389, 67)  (0.30232, 31)  
CFR_IN  (0.293562, 12)  (0.338291, 45)  (9.1073e-18, 62)  (0.057386, 64)  (0.312796, 21)  (0.00243764, 65)  (0.138701, 75)  (-0.00194977, 67)  (0.365237, 51)  (0.376365, 62)  (0.068581, 68)  
A-EFR_IN  (0.162927, 23)  (0.130075, 53)  (0.0526271, 45)  (-3.46945e-18, 53.5)  (0.060594, 34)  (0.0401369, 56)  (0.0986699, 64)  (0.0401678, 53)  (0.1213, 51)  (0.126918, 55)  (0.0887977, 62)  
BPS-EFR  (-0.00119003, 37)  (0.0562928, 59)  (0.290157, 33)  (0.271078, 54)  (1.30104e-18, 54.5)  (0.328615, 23)  (0.809655, 26)  (0.256405, 34)  (0.0473183, 61)  (0.046981, 62)  (0.422091, 50)  
TIPS-EFR  (0.344833, 12)  (0.413634, 51)  (0.000436885, 65)  (0.0486382, 64)  (0.366329, 20)  (-6.93889e-18, 63.5)  (0.140021, 73)  (-0.00157737, 59)  (0.426535, 53)  (0.432801, 62)  (0.0628811, 70)  
CSPS-EFR  (0.749582, 14)  (0.460278, 47)  (0.0625656, 47)  (-0.00808666, 57)  (0.768888, 22)  (0.0545464, 60)  (5.20417e-18, 68)  (0.0581698, 56)  (0.52027, 47)  (0.557304, 55)  (-0.0136461, 76)  
CFPS-EFR  (0.279729, 13)  (0.330735, 48)  (0.00227106, 62)  (0.0744425, 62)  (0.305933, 21)  (0.00424418, 62)  (0.143084, 71)  (1.38778e-17, 60)  (0.33398, 61)  (0.340347, 64)  (0.0708762, 70)  
CFPS-EFR_EX+IN  (0.0171265, 34)  (0.00371434, 58)  (0.318982, 34)  (0.154595, 61)  (0.0355055, 53)  (0.318846, 44)  (0.539403, 60)  (0.295257, 53)  (1.64799e-17, 61.5)  (-0.00170858, 68)  (0.298363, 24)  
TIPS-EFR_EX+IN  (0.0210557, 44)  (0.00383802, 58)  (0.328942, 38)  (0.174318, 59)  (0.0385266, 52)  (0.320438, 55)  (0.602743, 37)  (0.308372, 54)  (0.00288695, 60)  (-1.04083e-17, 65)  (0.295621, 29)  
BEHAV-EFR  (0.260596, 28)  (0.351566, 55)  (-0.000795616, 50)  (0.104513, 58)  (0.262187, 27)  (-0.0129686, 61)  (0.105286, 74)  (-0.00745394, 60)  (0.356343, 58)  (0.347143, 73)  (2.60209e-18, 68)  
t = 6
CFR  (-6.83047e-18, 30.5)  (0.135647, 43)  (0.438441, 25)  (0.484437, 25)  (0.0195202, 40)  (0.463292, 27)  (1, 18)  (0.419582, 24)  (0.0686012, 39)  (0.0797029, 57)  (0.128451, 56)  
CFR_EX+IN  (0.101225, 33)  (5.20417e-18, 53)  (0.33563, 52)  (0.514687, 55)  (0.215095, 54)  (0.39365, 41)  (0.932605, 33)  (0.335686, 29)  (0.0933531, 66)  (0.0640602, 67)  (0.161645, 25)  
CFR_IN  (0.448282, 3)  (0.443254, 45)  (8.67362e-18, 69)  (0.178191, 51)  (0.475997, 6)  (0.0191701, 79)  (0.20434, 74)  (0.00835342, 71)  (0.468665, 55)  (0.476024, 63)  (0.151338, 70)  
A-EFR_IN  (0.410498, 21)  (0.121085, 56)  (0.0933204, 50)  (0, 56)  (0.227351, 39)  (0.0764851, 67)  (0.125327, 69)  (0.0821615, 64)  (0.130383, 56)  (0.14033, 64)  (0.251377, 62)  
BPS-EFR  (0.0309525, 29)  (0.253383, 56)  (0.444879, 27)  (0.429636, 45)  (-8.67362e-18, 51.5)  (0.473717, 46)  (1, 17)  (0.420336, 34)  (0.186056, 61)  (0.169034, 64)  (0.155924, 59)  
TIPS-EFR  (0.529525, 3)  (0.553256, 45)  (-0.0150335, 64)  (0.129715, 60)  (0.562199, 5)  (-1.38778e-17, 76)  (0.195587, 71)  (-0.00782942, 64)  (0.528442, 51)  (0.542771, 62)  (0.143545, 75)  
CSPS-EFR  (0.95029, 8)  (0.860389, 36)  (0.190312, 49)  (0.0182551, 53)  (0.956778, 11)  (0.142668, 64)  (-1.30104e-18, 67.5)  (0.170482, 61)  (0.885212, 43)  (0.879652, 44)  (0.0504976, 74)  
CFPS-EFR  (0.492552, 9)  (0.492917, 44)  (-0.00625039, 65)  (0.18428, 56)  (0.523491, 15)  (0.0113514, 76)  (0.212843, 69)  (8.67362e-18, 61.5)  (0.531404, 54)  (0.559679, 57)  (0.146226, 76)  
CFPS-EFR_EX+IN  (0.0633078, 29)  (0.0605777, 56)  (0.337146, 43)  (0.537995, 54)  (0.144176, 58)  (0.387326, 59)  (0.952207, 14)  (0.329402, 17)  (8.67362e-19, 64)  (0.00617341, 71)  (0.151572, 41)  
