learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (-12.3294, 467)  (-12.3294, 242)  (-12.3294, 259)  (-12.3294, 266)  (-12.3294, 297)  (-12.3294, 287)  (-12.3294, 287)  (-12.3294, 302)  (-12.3294, 311)  (-12.3294, 314)  (-12.3294, 327)  
CFR  (19.7442, 14)  (19.8261, 42)  (20.167, 40)  (20.1791, 41)  (19.7882, 15)  (20.1749, 40)  (19.984, 43)  (20.175, 42)  (19.8802, 43)  (19.8794, 43)  (20.1777, 46)  
CFR_EX+IN  (19.79, 18)  (19.8813, 49)  (20.2332, 48)  (20.2378, 48)  (19.8394, 20)  (20.2415, 47)  (20.0384, 50)  (20.2416, 49)  (19.9387, 51)  (19.9375, 50)  (20.2442, 52)  
CFR_IN  (19.8304, 18)  (19.9155, 49)  (20.3555, 47)  (20.3416, 48)  (19.9001, 20)  (20.3655, 47)  (20.1407, 49)  (20.3655, 49)  (20.0018, 50)  (20.0006, 50)  (20.3685, 52)  
A-EFR_IN  (19.8364, 17)  (19.9163, 47)  (20.3518, 45)  (20.3448, 46)  (19.9029, 19)  (20.3609, 45)  (20.1378, 48)  (20.3609, 47)  (19.9994, 48)  (19.9983, 47)  (20.3653, 51)  
BPS-EFR  (19.7585, 14)  (19.8446, 42)  (20.1753, 41)  (20.1858, 41)  (19.8048, 15)  (20.1847, 40)  (19.9959, 43)  (20.1849, 42)  (19.9008, 43)  (19.8999, 42)  (20.1866, 46)  
TIPS-EFR  (19.8304, 19)  (19.9155, 50)  (20.3624, 47)  (20.3443, 49)  (19.9001, 20)  (20.3736, 49)  (20.1481, 50)  (20.3736, 49)  (20.0018, 51)  (20.0006, 49)  (20.3761, 53)  
CSPS-EFR  (19.8159, 19)  (19.9039, 49)  (20.3329, 47)  (20.3332, 48)  (19.8875, 20)  (20.3417, 46)  (20.107, 50)  (20.3417, 49)  (19.9953, 49)  (19.994, 50)  (20.3442, 53)  
CFPS-EFR  (19.8305, 18)  (19.9155, 48)  (20.3624, 47)  (20.3443, 48)  (19.9001, 20)  (20.3736, 47)  (20.1481, 49)  (20.3736, 48)  (20.0018, 50)  (20.0006, 49)  (20.3761, 52)  
CFPS-EFR_EX+IN  (19.8013, 18)  (19.8955, 49)  (20.2384, 48)  (20.2436, 48)  (19.8518, 20)  (20.2484, 48)  (20.049, 50)  (20.2486, 49)  (19.9531, 50)  (19.9519, 50)  (20.2501, 53)  
TIPS-EFR_EX+IN  (19.8027, 19)  (19.8968, 50)  (20.2426, 50)  (20.2449, 49)  (19.853, 21)  (20.2527, 49)  (20.052, 51)  (20.2528, 51)  (19.954, 51)  (19.9528, 52)  (20.2543, 55)  
BEHAV-EFR  (19.8304, 19)  (19.9155, 50)  (20.3668, 49)  (20.3453, 49)  (19.9001, 20)  (20.3772, 48)  (20.1537, 51)  (20.3772, 51)  (20.0018, 52)  (20.0006, 51)  (20.3804, 55)  
BR  (20.2152, 9)  (20.2892, 26)  (20.4553, 25)  (20.5092, 25)  (20.241, 10)  (20.4943, 24)  (20.2528, 27)  (20.4943, 26)  (20.3171, 27)  (20.3156, 26)  (20.5253, 28)  
t = 5
CFR  (20.0351, 14)  (20.1337, 43)  (20.2931, 39)  (20.2926, 41)  (20.0589, 15)  (20.311, 41)  (20.1265, 43)  (20.3112, 41)  (20.1488, 43)  (20.1472, 45)  (20.3172, 45)  
CFR_EX+IN  (20.0764, 19)  (20.1801, 51)  (20.3354, 45)  (20.3347, 48)  (20.099, 20)  (20.3603, 48)  (20.1743, 50)  (20.3605, 48)  (20.1943, 51)  (20.1922, 52)  (20.3656, 52)  
CFR_IN  (20.1353, 18)  (20.2353, 51)  (20.4063, 45)  (20.408, 48)  (20.169, 20)  (20.4576, 48)  (20.26, 50)  (20.4577, 48)  (20.2637, 50)  (20.2604, 50)  (20.4545, 52)  
A-EFR_IN  (20.1358, 17)  (20.235, 48)  (20.3957, 43)  (20.3932, 45)  (20.1677, 19)  (20.4442, 45)  (20.234, 49)  (20.4409, 46)  (20.2627, 48)  (20.2594, 49)  (20.4362, 49)  
BPS-EFR  (20.0365, 14)  (20.1357, 43)  (20.3067, 39)  (20.3067, 40)  (20.0604, 15)  (20.3361, 41)  (20.1469, 43)  (20.3363, 41)  (20.1506, 43)  (20.1491, 45)  (20.3379, 44)  
TIPS-EFR  (20.1353, 18)  (20.2353, 52)  (20.411, 46)  (20.4153, 49)  (20.169, 20)  (20.4719, 48)  (20.2646, 52)  (20.472, 48)  (20.2637, 51)  (20.2604, 53)  (20.468, 53)  
CSPS-EFR  (20.1347, 18)  (20.2354, 51)  (20.3922, 45)  (20.3962, 48)  (20.1682, 20)  (20.4388, 48)  (20.2278, 51)  (20.4388, 49)  (20.2637, 50)  (20.2604, 51)  (20.4373, 52)  
CFPS-EFR  (20.1353, 18)  (20.2353, 50)  (20.411, 44)  (20.4151, 47)  (20.169, 20)  (20.472, 48)  (20.2647, 49)  (20.472, 48)  (20.2637, 50)  (20.2604, 52)  (20.4678, 51)  
CFPS-EFR_EX+IN  (20.0775, 19)  (20.1806, 51)  (20.3456, 45)  (20.3475, 49)  (20.1002, 20)  (20.3828, 47)  (20.1906, 50)  (20.383, 48)  (20.1948, 50)  (20.1927, 52)  (20.3835, 51)  
TIPS-EFR_EX+IN  (20.078, 19)  (20.1803, 52)  (20.3471, 47)  (20.3486, 49)  (20.1001, 21)  (20.384, 49)  (20.1923, 53)  (20.3842, 50)  (20.1946, 52)  (20.1925, 53)  (20.3849, 54)  
BEHAV-EFR  (20.1377, 18)  (20.2271, 52)  (20.4112, 46)  (20.4167, 50)  (20.1696, 20)  (20.4714, 50)  (20.2638, 52)  (20.4715, 49)  (20.2632, 52)  (20.2595, 53)  (20.4757, 54)  
BR  (20.3341, 9)  (20.4068, 26)  (20.4796, 23)  (20.5435, 26)  (20.3415, 10)  (20.5497, 25)  (20.431, 27)  (20.5497, 25)  (20.4135, 27)  (20.4114, 29)  (20.5696, 27)  
t = 6
CFR  (20.2608, 13)  (20.345, 42)  (20.3747, 39)  (20.4027, 39)  (20.268, 15)  (20.4536, 41)  (20.4029, 41)  (20.4538, 40)  (20.3497, 45)  (20.3469, 42)  (20.4511, 44)  
CFR_EX+IN  (20.3051, 18)  (20.3964, 50)  (20.3995, 46)  (20.4344, 47)  (20.3114, 19)  (20.4911, 48)  (20.4473, 48)  (20.4913, 46)  (20.4013, 53)  (20.3986, 49)  (20.4894, 50)  
CFR_IN  (20.2977, 18)  (20.4764, 50)  (20.4731, 45)  (20.5191, 46)  (20.3034, 19)  (20.5951, 46)  (20.5576, 48)  (20.5952, 46)  (20.4792, 51)  (20.4774, 49)  (20.5777, 51)  
A-EFR_IN  (20.299, 17)  (20.4718, 47)  (20.4625, 43)  (20.5052, 44)  (20.3039, 18)  (20.5759, 44)  (20.5053, 47)  (20.5549, 44)  (20.4746, 49)  (20.4728, 46)  (20.5341, 49)  
BPS-EFR  (20.2612, 14)  (20.3451, 43)  (20.3975, 38)  (20.4259, 39)  (20.2685, 15)  (20.4813, 41)  (20.41, 41)  (20.4815, 39)  (20.3499, 45)  (20.3471, 42)  (20.4738, 43)  
TIPS-EFR  (20.2949, 18)  (20.4764, 50)  (20.4873, 47)  (20.5388, 48)  (20.3034, 19)  (20.6022, 49)  (20.5575, 49)  (20.6022, 47)  (20.4792, 52)  (20.4774, 50)  (20.5804, 51)  
CSPS-EFR  (20.298, 17)  (20.4764, 50)  (20.4616, 45)  (20.4998, 47)  (20.3035, 19)  (20.5719, 47)  (20.552, 48)  (20.5719, 47)  (20.4792, 51)  (20.4774, 48)  (20.57, 51)  
CFPS-EFR  (20.2978, 18)  (20.4764, 49)  (20.4873, 45)  (20.5333, 46)  (20.3034, 19)  (20.6022, 47)  (20.5575, 49)  (20.6022, 46)  (20.4792, 51)  (20.4774, 47)  (20.5804, 52)  
CFPS-EFR_EX+IN  (20.3052, 18)  (20.3965, 50)  (20.4202, 46)  (20.4552, 47)  (20.3115, 19)  (20.5137, 47)  (20.4491, 49)  (20.5139, 46)  (20.4013, 51)  (20.3986, 49)  (20.5061, 51)  
TIPS-EFR_EX+IN  (20.304, 19)  (20.3961, 52)  (20.4195, 47)  (20.4552, 49)  (20.3113, 20)  (20.5135, 49)  (20.4494, 50)  (20.5137, 49)  (20.4009, 54)  (20.3982, 51)  (20.5055, 52)  
BEHAV-EFR  (20.2938, 18)  (20.4692, 52)  (20.495, 47)  (20.5358, 47)  (20.2993, 20)  (20.6027, 49)  (20.5573, 50)  (20.6027, 48)  (20.4792, 52)  (20.4774, 50)  (20.5553, 52)  
BR  (20.4231, 9)  (20.5129, 27)  (20.5475, 23)  (20.5892, 24)  (20.428, 10)  (20.6301, 25)  (20.6127, 26)  (20.6301, 24)  (20.5157, 27)  (20.5139, 26)  (20.6251, 27)  
t = 7
CFR  (20.4372, 14)  (20.4912, 41)  (20.4799, 37)  (20.526, 39)  (20.4408, 15)  (20.547, 42)  (20.5116, 41)  (20.5473, 40)  (20.4942, 41)  (20.4936, 40)  (20.552, 44)  
CFR_EX+IN  (20.4678, 18)  (20.5215, 49)  (20.5086, 44)  (20.558, 46)  (20.4711, 20)  (20.5737, 49)  (20.5537, 49)  (20.5739, 47)  (20.5248, 47)  (20.5242, 47)  (20.5739, 50)  
CFR_IN  (20.4982, 18)  (20.5405, 49)  (20.5853, 44)  (20.6027, 46)  (20.5002, 19)  (20.6222, 48)  (20.6135, 49)  (20.6222, 48)  (20.5422, 49)  (20.5416, 48)  (20.6096, 50)  
A-EFR_IN  (20.4982, 17)  (20.5405, 46)  (20.522, 43)  (20.5972, 43)  (20.5003, 18)  (20.6111, 47)  (20.5915, 47)  (20.6022, 45)  (20.5422, 46)  (20.5416, 46)  (20.5891, 49)  
