learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
BR  (8, 0)  (8, 0)  (9.34287, 0)  (9.34287, 0)  (8, 0)  (9.34287, 0)  (9.34287, 0)  (9.34287, 0)  (8, 0)  (8, 0)  (9.34287, 0)  
t = 8
CFR  (8, 0)  (8, 0)  (8.9303, 0)  (8.9303, 0)  (8, 0)  (8.9303, 0)  (8.9303, 0)  (8.9303, 0)  (8, 0)  (8, 0)  (8.9303, 0)  
CFR_EX+IN  (8, 0)  (8, 0)  (8.92519, 0)  (8.92519, 0)  (8, 0)  (8.92519, 0)  (8.92519, 0)  (8.92519, 0)  (8, 0)  (8, 0)  (8.92519, 0)  
CFR_IN  (8, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (8, 0)  (9.1525, 0)  
A-EFR_IN  (8, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (8, 0)  (9.1525, 0)  
BPS-EFR  (8, 0)  (8, 0)  (8.9303, 0)  (8.9303, 0)  (8, 0)  (8.9303, 0)  (8.9303, 0)  (8.9303, 0)  (8, 0)  (8, 0)  (8.9303, 0)  
TIPS-EFR  (8, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (8, 0)  (9.1525, 0)  
CSPS-EFR  (8, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (8, 0)  (9.1525, 0)  
CFPS-EFR  (8, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (8, 0)  (9.1525, 0)  
CFPS-EFR_EX+IN  (8, 0)  (8, 0)  (8.92519, 0)  (8.92519, 0)  (8, 0)  (8.92519, 0)  (8.92519, 0)  (8.92519, 0)  (8, 0)  (8, 0)  (8.92519, 0)  
TIPS-EFR_EX+IN  (8, 0)  (8, 0)  (8.92519, 0)  (8.92519, 0)  (8, 0)  (8.92519, 0)  (8.92519, 0)  (8.92519, 0)  (8, 0)  (8, 0)  (8.92519, 0)  
BEHAV-EFR  (8, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (9.1525, 0)  (9.1525, 0)  (9.1525, 0)  (8, 0)  (8, 0)  (9.1525, 0)  
BR  (8, 0)  (8, 0)  (9.45406, 0)  (9.45406, 0)  (8, 0)  (9.45406, 0)  (9.45406, 0)  (9.45406, 0)  (8, 0)  (8, 0)  (9.45406, 0)  
t = 9
CFR  (8, 0)  (8, 0)  (9.656, 0)  (9.656, 0)  (8, 0)  (9.656, 0)  (9.656, 0)  (9.656, 0)  (8, 0)  (8, 0)  (9.656, 0)  
CFR_EX+IN  (8, 0)  (8, 0)  (9.69729, 0)  (9.69729, 0)  (8, 0)  (9.69729, 0)  (9.69729, 0)  (9.69729, 0)  (8, 0)  (8, 0)  (9.69729, 0)  
CFR_IN  (8, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (8, 0)  (9.77658, 0)  
A-EFR_IN  (8, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (8, 0)  (9.77658, 0)  
BPS-EFR  (8, 0)  (8, 0)  (9.656, 0)  (9.656, 0)  (8, 0)  (9.656, 0)  (9.656, 0)  (9.656, 0)  (8, 0)  (8, 0)  (9.656, 0)  
TIPS-EFR  (8, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (8, 0)  (9.77658, 0)  
CSPS-EFR  (8, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (8, 0)  (9.77658, 0)  
CFPS-EFR  (8, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (9.77658, 0)  (9.77658, 0)  (9.77658, 0)  (8, 0)  (8, 0)  (9.77658, 0)  
CFPS-EFR_EX+IN  (8, 0)  (8, 0)  (9.69729, 0)  (9.69729, 0)  (8, 0)  (9.69729, 0)  (9.69729, 0)  (9.69729, 0)  (8, 0)  (8, 0)  (9.69729, 0)  
