learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
CFPS-CFR  0.144273  0.0109326  0.137168  0.126803  0.123424  0.175947  0.172743  0.168903  -0.167162  0.058309  
CFPS-CFR_EX+IN  0.181066  0.119392  0.155067  0.130372  0.201421  0.161558  0.139378  0.157743  0.123029  0.151169  
TIPS-CFR_EX+IN  0.187645  0.120414  0.154389  0.130574  0.201737  0.160672  0.164468  0.156876  0.113431  0.160487  
BR  0.435747  0.42548  0.503368  0.291788  0.453529  0.436778  0.393739  0.472703  0.352712  0.387857  
t = 9
CFR  0.135597  0.211424  0.171694  0.174072  0.185114  0.193963  0.135013  0.128494  0.124317  0.156402  
CFR_EX+IN  0.114987  0.171876  0.178291  0.149737  0.170826  0.133838  0.111722  0.0624627  0.126732  0.1572  
CFR_IN  0.133662  0.121666  0.193604  0.19249  0.0640763  0.147489  0.136199  0.072261  0.0748618  0.15039  
A-CFR_IN  0.102322  0.196596  0.26203  0.132911  0.131028  0.0850523  0.265993  0.0894976  0.0821081  0.125679  
BPS-CFR  0.121178  0.217599  0.179183  0.165166  0.162956  0.182612  0.131601  0.11552  0.18233  0.162759  
TIPS-CFR  0.12338  0.122221  0.194675  0.19249  0.0858429  0.145713  0.188882  0.0959075  0.0598512  0.141828  
CSPS-CFR  0.103817  0.179175  0.180768  0.149121  0.175678  0.145917  0.149319  0.0757368  0.168095  0.181524  
CFPS-CFR  0.128577  0.119408  0.194614  0.19249  0.0738721  0.153438  0.141998  0.103417  0.0613704  0.137992  
CFPS-CFR_EX+IN  0.120792  0.170372  0.178482  0.144409  0.162205  0.128097  0.118792  0.0573389  0.141579  0.155276  
TIPS-CFR_EX+IN  0.120261  0.185904  0.178446  0.144934  0.165429  0.127815  0.169882  0.0572001  0.13505  0.163621  
BR  0.333573  0.446073  0.583735  0.351542  0.429217  0.468181  0.366107  0.472269  0.388174  0.493407  
t = 10
CFR  0.119038  0.208508  0.196348  0.220922  0.158132  0.0989952  0.154563  0.115014  0.0893037  0.132495  
CFR_EX+IN  0.0916496  0.186728  0.179718  0.205133  0.104122  0.0655445  0.1363  0.0980787  0.115697  0.130121  
CFR_IN  0.0916168  0.12709  0.189586  0.209069  -0.0144339  0.0949746  0.19251  0.127775  0.0798527  0.118363  
A-CFR_IN  0.0638884  0.174828  0.19691  0.140085  0.174352  0.08771  0.214249  0.121929  0.0797401  0.0739129  
BPS-CFR  0.103296  0.212477  0.195643  0.219639  0.149837  0.0965357  0.157381  0.115383  0.122877  0.131579  
TIPS-CFR  0.126716  0.155495  0.208299  0.209069  0.0791158  0.0994364  0.153903  0.122319  0.0790387  0.130872  
CSPS-CFR  0.0914442  0.193975  0.188764  0.211236  0.103065  0.0703967  0.156301  0.101837  0.123924  0.133675  
CFPS-CFR  0.128333  0.158315  0.20652  0.209069  0.0613924  0.103042  0.136494  0.120703  0.078386  0.127608  
CFPS-CFR_EX+IN  0.114463  0.190925  0.18342  0.203842  0.101532  0.060603  0.14718  0.0970687  0.123641  0.135169  
TIPS-CFR_EX+IN  0.10964  0.196901  0.18314  0.205124  0.103566  0.0611021  0.166921  0.0970989  0.124102  0.13506  
BR  0.294266  0.510496  0.535616  0.380512  0.382332  0.394257  0.372021  0.423274  0.411387  0.41844  
t = 11
CFR  0.118396  0.180443  0.12833  0.15331  0.189286  0.103449  0.147856  0.11793  0.0908504  0.112207  
CFR_EX+IN  0.0961273  0.181389  0.102609  0.130713  0.123171  0.0951089  0.142298  0.119132  0.102297  0.112538  
CFR_IN  0.130904  0.145783  0.155435  0.128051  0.150808  0.11796  0.191252  0.124018  0.105827  0.12283  
A-CFR_IN  0.0327339  0.281066  0.128576  0.128928  0.180476  0.135256  0.232628  0.154007  0.129649  0.0897621  
BPS-CFR  0.112296  0.184012  0.126421  0.151921  0.152321  0.103784  0.147927  0.121017  0.101307  0.0762385  
TIPS-CFR  0.164711  0.20687  0.184184  0.128051  0.145267  0.121968  0.246704  0.142165  0.104884  0.0852602  
CSPS-CFR  0.0873741  0.215359  0.11421  0.136723  0.134141  0.0975485  0.145191  0.125228  0.10032  0.118353  
CFPS-CFR  0.165116  0.24701  0.18186  0.128051  0.100121  0.121941  0.244939  0.123612  0.104971  0.114668  
CFPS-CFR_EX+IN  0.123451  0.181223  0.102626  0.130112  0.101802  0.0940838  0.149574  0.121589  0.105433  0.0942038  
TIPS-CFR_EX+IN  0.11782  0.236424  0.102148  0.132357  0.124047  0.094374  0.15132  0.121986  0.104331  0.123876  
BR  0.293648  0.541807  0.432122  0.299251  0.445529  0.420756  0.350604  0.412146  0.415929  0.404594  
t = 12
CFR  0.123237  0.170334  0.0635713  0.158831  0.173413  0.1038  0.146809  -0.140062  0.124495  0.156835  
CFR_EX+IN  0.12235  0.179462  0.0650268  0.135518  0.172472  0.108374  0.142162  -0.100834  0.119496  0.155477  
CFR_IN  0.107023  0.246896  0.0864481  0.127157  0.111473  0.113744  0.17743  -0.0607772  0.13412  0.158284  
A-CFR_IN  0.0123573  0.103302  0.0758877  0.137895  0.088286  0.148116  0.181635  -0.0687657  0.167168  0.234389  
BPS-CFR  0.123143  0.151759  0.0719345  0.158468  0.156041  0.108069  0.150383  -0.137814  0.0967104  0.138938  
TIPS-CFR  0.147573  0.230278  0.0554538  0.127157  0.0963604  0.119696  0.197668  -0.046098  0.108175  0.128191  
CSPS-CFR  0.121452  0.199746  0.0523779  0.139997  0.178777  0.116375  0.142742  -0.104052  0.154246  0.154392  
CFPS-CFR  0.144449  0.157947  0.0564273  0.127157  0.101069  0.120308  0.197683  -0.0598132  0.106252  0.150402  
CFPS-CFR_EX+IN  0.113437  0.165041  0.0723137  0.134289  0.148859  0.112984  0.154557  -0.0996877  0.0973969  0.136425  
