learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (-12.3294, 259.5)  (-12.3294, 82)  (-12.3294, 80)  (-12.3294, 84)  (-12.3294, 88)  (-12.3294, 83)  (-12.3294, 82)  (-12.3294, 84)  (-12.3294, 82)  (-12.3294, 83)  (-12.3294, 83)  
TIPS-EFR_EX+IN  (20.3225, 18)  (20.3973, 47)  (20.561, 39)  (20.5671, 36)  (20.3252, 13)  (20.5631, 38)  (20.5156, 48)  (20.5704, 49)  (20.3998, 47)  (20.3982, 44.5)  (20.5642, 47)  
BEHAV-EFR  (20.5591, 20)  (20.5658, 46)  (20.5407, 41)  (20.5269, 35)  (20.5601, 15)  (20.6058, 35)  (20.5854, 46)  (20.6058, 46)  (20.5664, 47)  (20.5642, 49)  (20.5553, 47.5)  
t = 7
CFR  (20.4372, 9)  (20.4794, 29)  (20.5761, 34)  (20.5791, 36)  (20.4391, 13)  (20.586, 37)  (20.5353, 38)  (20.5863, 38)  (20.4806, 34)  (20.4801, 35)  (20.5743, 38)  
CFR_EX+IN  (20.4794, 15)  (20.5215, 45.5)  (20.5766, 44)  (20.5835, 44)  (20.4809, 17)  (20.5777, 46)  (20.5552, 44)  (20.5923, 43)  (20.5232, 43)  (20.5226, 44)  (20.578, 45)  
CFR_IN  (20.5761, 16)  (20.5766, 43)  (20.5853, 40.5)  (20.5369, 40)  (20.5762, 18)  (20.6037, 44)  (20.6031, 43)  (20.6038, 42)  (20.5766, 38)  (20.576, 35)  (20.6033, 37)  
A-EFR_IN  (20.5791, 18)  (20.5835, 43)  (20.5369, 41)  (20.5972, 33.5)  (20.5802, 12)  (20.6144, 36)  (20.5919, 34)  (20.6017, 31)  (20.5843, 33)  (20.5822, 35)  (20.5925, 32)  
BPS-EFR  (20.4391, 13)  (20.4809, 33)  (20.5762, 33)  (20.5802, 27)  (20.441, 8)  (20.5861, 33)  (20.5354, 29)  (20.5864, 27)  (20.4821, 26)  (20.4816, 24)  (20.5743, 29)  
TIPS-EFR  (20.586, 20)  (20.5777, 44)  (20.6037, 42)  (20.6144, 37)  (20.5861, 17)  (20.6222, 35.5)  (20.6162, 37)  (20.6222, 34)  (20.5777, 37)  (20.577, 37)  (20.5685, 34)  
CSPS-EFR  (20.5353, 18)  (20.5552, 44)  (20.6031, 40)  (20.5919, 33)  (20.5354, 13)  (20.6162, 34)  (20.6146, 33.5)  (20.6161, 32)  (20.5553, 43)  (20.5545, 42)  (20.6164, 44)  
CFPS-EFR  (20.5863, 19)  (20.5923, 43)  (20.6038, 41)  (20.6017, 32)  (20.5864, 14)  (20.6222, 34)  (20.6161, 35)  (20.6222, 41.5)  (20.5923, 43)  (20.5917, 45)  (20.5953, 46)  
CFPS-EFR_EX+IN  (20.4806, 17)  (20.5232, 46)  (20.5766, 40)  (20.5843, 35)  (20.4821, 13)  (20.5777, 36)  (20.5553, 45)  (20.5923, 47)  (20.5248, 44)  (20.5242, 43)  (20.5781, 44)  
TIPS-EFR_EX+IN  (20.4801, 18)  (20.5226, 45)  (20.576, 39)  (20.5822, 39)  (20.4816, 13)  (20.577, 38)  (20.5545, 44)  (20.5917, 48)  (20.5242, 45)  (20.5237, 43.5)  (20.5774, 46)  
BEHAV-EFR  (20.5743, 20)  (20.578, 43)  (20.6033, 39)  (20.5925, 35)  (20.5743, 15)  (20.5685, 37)  (20.6164, 47)  (20.5953, 48)  (20.5781, 43)  (20.5774, 48)  (20.6009, 47.5)  
t = 8
CFR  (20.5423, 8.5)  (20.5503, 29)  (20.5871, 33)  (20.5884, 36)  (20.5436, 13)  (20.5954, 38)  (20.5773, 38)  (20.5954, 35)  (20.5515, 31)  (20.5509, 34)  (20.5867, 38)  
CFR_EX+IN  (20.5503, 16)  (20.5569, 41.5)  (20.5867, 45)  (20.5927, 42)  (20.552, 17)  (20.5866, 44)  (20.5835, 44)  (20.6002, 46)  (20.5584, 41)  (20.5578, 44)  (20.5863, 45)  
CFR_IN  (20.5871, 17)  (20.5867, 43)  (20.6216, 42)  (20.6021, 38)  (20.5872, 18)  (20.6306, 40)  (20.6287, 43)  (20.6306, 41)  (20.5868, 37)  (20.586, 35)  (20.6047, 38)  
A-EFR_IN  (20.5884, 17)  (20.5927, 43)  (20.6021, 40)  (20.6242, 33.5)  (20.5884, 12)  (20.6334, 38)  (20.6185, 34)  (20.6297, 31)  (20.5927, 34)  (20.592, 34)  (20.6391, 31)  
BPS-EFR  (20.5436, 13)  (20.552, 35)  (20.5872, 33)  (20.5884, 27)  (20.5449, 8)  (20.5955, 34)  (20.5773, 27)  (20.5955, 26)  (20.5532, 25)  (20.5527, 24)  (20.5868, 28)  
TIPS-EFR  (20.5954, 20)  (20.5866, 43)  (20.6306, 42)  (20.6334, 36)  (20.5955, 16)  (20.6396, 32.5)  (20.6289, 35)  (20.6396, 32)  (20.5866, 35)  (20.5859, 37)  (20.642, 35)  
CSPS-EFR  (20.5773, 18)  (20.5835, 45)  (20.6287, 39)  (20.6185, 33)  (20.5773, 13)  (20.6289, 33)  (20.6329, 33.5)  (20.6289, 32)  (20.5835, 43)  (20.5826, 46)  (20.6345, 42)  
CFPS-EFR  (20.5954, 19)  (20.6002, 43)  (20.6306, 41)  (20.6297, 32)  (20.5955, 14)  (20.6396, 34)  (20.6289, 35)  (20.6397, 41)  (20.6002, 40)  (20.5995, 44)  (20.632, 46)  
CFPS-EFR_EX+IN  (20.5515, 17)  (20.5584, 44)  (20.5868, 41)  (20.5927, 35)  (20.5532, 13)  (20.5866, 37)  (20.5835, 45)  (20.6002, 44)  (20.5599, 43.5)  (20.5593, 41)  (20.5863, 45)  
