learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
BPS-CFR  9.10999  9.49765  12.7208  8.82744  8.79367  12.1616  8.723  13.4337  6.47838  6.91425  
TIPS-CFR  2.10653  2.15367  16.1941  6.44648  2.12185  15.5766  2.12213  18.0565  2.14664  2.15391  
CSPS-CFR  8.52723  10.5949  15.0198  7.61539  8.82014  13.5771  8.74478  13.0457  10.6692  10.6402  
CFPS-CFR  2.12219  2.15382  20.5605  6.18709  2.1223  16.8586  2.11357  16.1904  2.15403  2.15385  
CFPS-CFR_EX+IN  8.4599  8.88793  13.6136  8.27406  8.5139  11.1844  7.84229  12.7  7.61456  7.61298  
TIPS-CFR_EX+IN  8.45331  8.90048  14.1715  8.43446  8.91599  13.5721  7.86335  14.4026  7.61927  7.6177  
t = 14
CFR  9.0084  7.48091  12.1032  8.88403  9.13652  10.5615  9.13248  9.51869  7.45072  7.4508  
CFR_EX+IN  9.06369  8.12283  11.7179  8.60183  8.92773  13.5718  8.84664  13.2327  9.69424  9.70616  
CFR_IN  2.0894  2.1534  16.1263  6.29933  2.12135  18.4388  2.10211  19.6725  2.15347  2.1469  
A-CFR_IN  2.22005  2.1455  10.8736  6.77721  2.30185  11.4199  2.17818  10.6573  2.13411  2.1789  
BPS-CFR  9.23067  7.39118  12.7283  8.54097  8.43937  12.1676  8.38692  13.44  5.89423  7.61423  
TIPS-CFR  2.10725  2.15371  16.3437  7.07921  2.12208  15.2752  2.1222  15.7007  2.14809  2.15399  
CSPS-CFR  8.97622  7.41937  15.0901  7.79071  8.48367  13.5947  8.42039  12.9911  7.36763  7.36939  
CFPS-CFR  2.12288  2.15387  20.7023  6.41813  2.12236  18.2333  2.11318  16.2308  2.15038  2.15175  
CFPS-CFR_EX+IN  9.23815  9.62242  13.6218  8.82518  9.29855  11.6276  8.81612  12.709  7.5573  8.08063  
TIPS-CFR_EX+IN  9.24009  9.63397  14.2045  9.57468  8.73674  13.6661  8.81702  14.6188  7.6438  8.21503  
t = 15
CFR  9.02741  5.97836  12.2146  9.60096  8.84158  10.6156  8.76436  9.53189  5.85974  5.85984  
CFR_EX+IN  9.58175  7.97541  11.7231  9.3922  9.64718  13.5847  9.45166  13.2466  10.3521  10.3654  
CFR_IN  2.0894  2.15347  16.872  6.79195  2.12146  18.9568  2.10639  19.3801  2.15356  2.14277  
A-CFR_IN  2.16299  2.14338  10.9776  7.27385  2.27743  11.7144  2.18156  10.8924  2.14958  2.16467  
BPS-CFR  9.07296  6.04238  12.7353  8.90191  8.20346  12.1737  8.20484  13.4448  6.40773  8.1591  
TIPS-CFR  2.10793  2.15375  15.1968  7.58339  2.12087  15.2141  2.12226  16.6366  2.14987  2.15406  
CSPS-CFR  9.13599  7.69153  15.0998  7.14767  8.37157  13.6301  8.33746  12.9776  5.9795  5.98197  
CFPS-CFR  2.1261  2.15392  19.8724  6.36149  2.12241  16.9469  2.11236  15.5245  2.15411  2.15403  
CFPS-CFR_EX+IN  9.79715  9.89355  13.6294  9.8566  8.628  11.7745  9.55623  12.7198  6.49765  9.02107  
TIPS-CFR_EX+IN  9.7984  9.90237  14.2223  9.66066  8.5617  13.7084  9.5589  14.6389  6.49737  9.05126  
t = 16
CFR  9.00558  5.89872  12.3657  10.4105  8.99022  10.6751  9.12049  9.56061  6.33401  6.3368  
CFR_EX+IN  9.95635  7.92372  11.7278  9.87299  9.05908  13.5939  10.1424  13.2564  11.0674  11.0788  
CFR_IN  2.08734  2.15353  16.0608  6.76218  2.12146  18.2987  2.11119  19.2411  2.15356  2.13097  
A-CFR_IN  2.13074  2.11273  11.2637  6.91814  2.33581  12.0364  2.20352  10.8744  2.13157  2.13657  
BPS-CFR  8.76509  7.41146  12.7415  8.98098  8.10239  12.1775  8.19134  13.448  6.66664  8.2139  
TIPS-CFR  2.10865  2.15379  16.5581  7.00569  2.12229  15.2604  2.12232  17.7601  2.15246  2.15414  
CSPS-CFR  9.1198  6.03875  15.1093  7.54624  8.38151  13.6711  8.4149  12.9088  6.01265  6.03524  
CFPS-CFR  2.12889  2.15397  17.8761  6.35012  2.12246  17.0574  2.11118  15.1989  2.15414  2.15409  
CFPS-CFR_EX+IN  10.106  9.98698  13.6369  9.88173  8.06896  11.9033  9.98207  12.7297  6.49106  7.25579  
TIPS-CFR_EX+IN  10.1025  9.99522  14.2444  10.8324  8.66893  13.7288  9.98574  14.6522  5.47766  6.2999  
t = 17
CFR  8.86271  6.00018  12.413  10.7065  9.33923  10.7329  9.57998  9.6365  7.36929  7.38483  
CFR_EX+IN  10.1891  7.89683  11.7325  9.75167  8.49401  13.6034  10.4561  13.2613  8.56434  8.58105  
CFR_IN  2.09019  2.15359  15.6277  6.89034  2.12151  17.0117  2.11496  18.4352  2.147  2.12366  
A-CFR_IN  2.10669  2.08256  11.8579  7.6483  2.35779  11.5269  2.17215  11.1636  2.12401  2.12667  
BPS-CFR  8.4873  9.07353  12.7463  9.56544  8.26508  12.181  8.4733  13.4512  8.04423  9.54136  
TIPS-CFR  2.10953  2.15399  17.3707  6.78932  2.12235  15.1304  2.12237  19.0334  2.15377  2.15418  
CSPS-CFR  9.05881  7.15908  15.119  8.1598  8.6418  13.7114  8.73435  12.8972  6.2895  6.3572  
CFPS-CFR  2.13085  2.15401  16.246  6.4106  2.12252  16.3241  2.11582  15.2643  2.15418  2.15413  
CFPS-CFR_EX+IN  9.8673  7.98673  13.6421  9.88365  7.79913  11.9524  10.5011  12.7343  6.00396  7.31719  
TIPS-CFR_EX+IN  9.83446  7.98751  14.2638  10.2529  9.56133  13.7402  10.5065  14.6555  6.39524  7.90777  
t = 18
CFR  8.90989  6.39518  12.4694  11.002  9.79444  10.7761  10.1666  9.82401  8.81084  8.83278  
CFR_EX+IN  9.45427  7.88682  11.7375  10.0605  8.92981  13.6134  9.10568  13.2659  11.5598  11.5608  
CFR_IN  2.09324  2.15391  15.732  6.67555  2.12164  14.5689  2.11858  16.2487  2.15356  2.10674  
A-CFR_IN  2.12167  2.08501  11.8514  7.78987  2.38599  11.6847  2.17249  11.2212  2.14069  2.1446  
BPS-CFR  8.41834  10.5083  12.7514  9.08155  8.63459  12.1845  8.95287  13.4659  9.85261  9.01403  
TIPS-CFR  2.11041  2.15419  20.0576  6.60922  2.12249  15.2533  2.12242  19.3916  2.15378  2.15422  
CSPS-CFR  9.12899  9.05751  15.1341  8.94569  8.91341  13.7558  9.18982  12.8886  6.56724  6.62615  
CFPS-CFR  2.13174  2.15406  15.892  6.44307  2.12257  14.8215  2.12311  14.5753  2.15421  2.15416  
CFPS-CFR_EX+IN  8.65767  8.46977  13.6441  9.88587  8.49506  12.0001  10.7277  12.7706  6.45709  7.54036  
TIPS-CFR_EX+IN  8.63639  8.47737  14.2915  10.2558  10.2882  13.7452  10.7274  14.6574  7.26088  8.15434  
t = 19
CFR  7.58972  8.49874  12.531  11.2839  10.1945  10.8442  10.434  10.0258  9.83558  9.84044  
CFR_EX+IN  8.71352  7.80362  11.7429  9.79107  9.14545  13.6197  9.10421  13.27  11.6963  11.7076  
CFR_IN  2.09919  2.15401  16.3868  6.23529  2.12175  12.7136  2.11895  17.5774  2.15356  2.09452  
A-CFR_IN  2.13151  2.10261  12.4951  7.95362  2.41076  11.6388  2.1746  10.9626  2.14521  2.15565  
BPS-CFR  8.7325  12.0708  12.7543  9.84364  9.11973  12.1876  9.66921  13.4986  10.0526  8.73039  
TIPS-CFR  2.11129  2.15423  21.2206  6.99803  2.12255  16.4248  2.12248  18.3772  2.15379  2.15196  
CSPS-CFR  9.45644  11.4549  15.1682  8.68185  9.57882  13.7986  9.91809  12.8684  7.16934  7.24662  
CFPS-CFR  2.13192  2.15409  15.5526  6.18344  2.12263  14.6374  2.12821  14.7068  2.15425  2.1542  
CFPS-CFR_EX+IN  8.77679  8.77878  13.661  9.99114  9.56538  12.0057  9.8902  12.7839  7.82249  7.86098  
TIPS-CFR_EX+IN  8.78007  8.79399  14.3217  10.2596  10.6523  13.7489  9.84151  14.6593  8.4187  8.26277  
t = 20
CFR  7.9202  9.63409  12.6087  11.5807  8.13698  10.9048  10.6938  10.1939  9.9475  10.097  
CFR_EX+IN  8.12169  7.58696  11.7489  10.1734  9.24946  13.6239  9.2166  13.274  12.0492  12.0687  
CFR_IN  2.10537  2.15224  17.5679  6.05931  2.12183  15.3108  2.12164  17.8198  2.15356  2.08195  
A-CFR_IN  2.13993  2.10904  12.6312  7.98951  2.44753  11.7681  2.15337  11.1788  2.14694  2.16596  
BPS-CFR  9.51571  12.3537  12.7571  9.96639  9.80189  12.1906  10.2749  13.5103  9.31622  9.43501  
TIPS-CFR  2.11154  2.15426  17.1822  7.07568  2.1227  17.3155  2.12253  17.8865  2.1538  2.15429  
CSPS-CFR  10.202  12.9243  15.1802  8.98815  10.1761  13.8514  10.5458  12.8475  10.079  8.68941  
CFPS-CFR  2.13114  2.15413  15.4246  5.97089  2.12269  15.51  2.13327  14.6672  2.15429  2.15423  
CFPS-CFR_EX+IN  9.12113  9.29006  13.6702  10.066  10.0894  12.0101  8.76755  12.789  8.02584  7.95621  
TIPS-CFR_EX+IN  9.13354  9.31863  14.3476  11.1211  7.38373  13.7522  8.61785  14.6612  8.60987  8.19618  
t = 21
CFR  8.11348  10.4885  12.612  11.4732  8.27387  11.0108  10.9193  10.363  11.6944  11.756  
CFR_EX+IN  8.14201  8.26001  11.7558  10.2516  9.85466  13.6281  9.27538  13.2778  12.3451  12.3533  
CFR_IN  2.11063  2.15409  18.6206  6.10032  2.12191  17.1668  2.12164  17.74  2.15356  2.0702  
A-CFR_IN  2.14238  2.11447  13.478  8.52649  2.46329  11.7303  2.15484  11.067  2.13475  2.16624  
BPS-CFR  10.2893  11.5411  12.7965  9.99113  10.3562  12.1935  10.7208  13.5168  8.7491  9.72304  
TIPS-CFR  2.11178  2.1543  14.5518  7.06956  2.12276  18.0943  2.12259  16.2743  2.15381  2.15433  
CSPS-CFR  10.8305  13.5748  15.1876  9.15316  10.7618  13.8631  10.8162  12.8422  11.6461  10.7798  
CFPS-CFR  2.12936  2.15417  16.76  5.91556  2.12275  17.5022  2.1378  14.2116  2.15432  2.15427  
CFPS-CFR_EX+IN  9.60432  9.55011  13.7399  10.2125  10.4879  12.0137  9.09232  12.7928  8.16679  8.02291  
TIPS-CFR_EX+IN  9.60586  9.55314  14.3757  10.7324  7.63445  13.7553  8.92709  14.6728  8.45286  8.15958  
t = 22
CFR  8.26575  13.3822  12.6151  11.7844  8.36997  11.1235  8.45246  10.496  12.0005  11.9997  
CFR_EX+IN  8.7202  8.16847  11.7624  10.3154  10.5594  13.646  9.50421  13.2811  11.3125  11.2919  
