learner/env  CFR  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  PI  greed_punisher  FP  
BR  0.15  0.144298  0.15  0.144709  0.149855  0.149707  0.149707  0.736979  0.486719  0.1375  
t = 8
CFR  -2.15106e-16  0.0449405  6.69603e-16  0.0450519  -0.0126173  -0.0128509  -0.0128509  0.610573  0.209037  0.0554976  
A-CFR  0.00566484  -1.52656e-16  0.00543668  6.31439e-16  -0.00762563  -0.00609469  -0.00609469  0.597645  0.227394  0.0335373  
CFR_IN  -2.35922e-16  0.0449405  7.07767e-16  0.0450519  -0.0126173  -0.0128509  -0.0128509  0.610573  0.209037  0.0554976  
A-CFR_IN  0.00566484  2.08167e-16  0.00543668  5.06539e-16  -0.00762563  -0.00609469  -0.00609469  0.597645  0.227394  0.0335373  
BPS-CFR  0.0127575  0.0444206  0.0126735  0.04453  5.88071e-16  0.000287979  0.000287979  0.612317  0.218423  0.0558291  
TIPS-CFR  0.0125008  0.0461902  0.0124239  0.0463373  -0.00024111  5.56846e-16  4.26742e-16  0.613364  0.216968  0.0587077  
IPS-CFR  0.0125008  0.0461902  0.0124239  0.0463373  -0.00024111  5.72459e-16  4.39752e-16  0.613364  0.216968  0.0587077  
PI  0.15  0.0614065  0.15  0.0618744  0.137406  0.137244  0.137244  0  -0.611458  0.1125  
greed_punisher  -0.468874  -0.256321  -0.46888  -0.256624  -0.406556  -0.402701  -0.402701  0.927083  -6.10623e-16  -0.2875  
FP  -0.0323649  0.0246512  -0.0323127  0.0251372  -0.0445921  -0.0465829  -0.0465829  0.545312  0.247917  -1.37911e-16  
BR  0.15  0.141968  0.15  0.1419  0.137406  0.137244  0.137244  0.927083  0.520833  0.1875  
t = 9
CFR  -3.19189e-16  -0.00595803  6.38378e-16  -0.0058509  -0.0335561  -0.0335105  -0.0335105  0.360952  0.0840046  0.0282595  
A-CFR  0.0460179  -3.53884e-16  0.045909  7.87564e-16  0.012269  0.0126591  0.0126591  0.35745  0.0826546  -0.00520572  
CFR_IN  -3.4521e-16  -0.00595803  6.31439e-16  -0.0058509  -0.0335561  -0.0335105  -0.0335105  0.360952  0.0840046  0.0282595  
A-CFR_IN  0.0460179  -1.42247e-16  0.045909  8.1532e-16  0.012269  0.0126591  0.0126591  0.35745  0.0826546  -0.00520572  
BPS-CFR  0.0338703  0.00295869  0.0336965  0.00297053  3.64292e-16  0.000929026  0.000929026  0.360283  0.083716  0.0296706  
TIPS-CFR  0.0327046  0.00424289  0.0325555  0.00426203  -0.00110172  4.71845e-16  4.4062e-16  0.360105  0.0841823  0.0305128  
IPS-CFR  0.0327046  0.00424289  0.0325555  0.00426203  -0.00110172  4.71845e-16  4.19803e-16  0.360105  0.0841823  0.0305128  
PI  0.15  0.122278  0.15  0.122093  0.116982  0.117028  0.117028  0  -0.666667  0.325  
greed_punisher  -0.452415  -0.115585  -0.435694  -0.116357  -0.268778  -0.266796  -0.266796  0.652214  -6.00214e-16  -0.05  
FP  -0.0524074  -0.0499295  -0.0524018  -0.049891  -0.0866918  -0.0876404  -0.0876404  0.377539  0.189583  -9.02056e-17  
BR  0.15  0.141418  0.15  0.141566  0.180425  0.179548  0.179548  0.652214  0.423438  0.325  
t = 10
CFR  -3.07046e-16  -0.0353921  4.90927e-16  -0.0352693  -0.0446791  -0.0436202  -0.0436202  0.144398  0.253477  0.0203503  
A-CFR  0.0571701  1.52656e-16  0.0570587  4.33681e-16  0.0123916  0.0133749  0.0133749  0.148328  0.246932  -0.0148096  
CFR_IN  9.88792e-17  -0.0353921  6.34909e-16  -0.0352693  -0.0446791  -0.0436202  -0.0436202  0.144398  0.253477  0.0203503  
A-CFR_IN  0.0571701  2.22045e-16  0.0570587  5.16948e-16  0.0123916  0.0133749  0.0133749  0.148328  0.246932  -0.0148096  
BPS-CFR  0.0447472  -0.00538527  0.0446655  -0.00540434  1.2837e-16  0.000846239  0.000846239  0.14435  0.250851  0.0203503  
TIPS-CFR  0.043938  -0.0048239  0.0438492  -0.00483589  -0.000813741  3.22659e-16  4.30211e-16  0.14318  0.252324  0.0203503  
IPS-CFR  0.043938  -0.0048239  0.0438492  -0.00483589  -0.000813741  3.22659e-16  2.94903e-16  0.14318  0.252324  0.0203503  
PI  0.145452  0.114515  0.146056  0.114644  0.203784  0.203051  0.203051  -3.46945e-16  -0.666146  0.3  
greed_punisher  -0.407599  -0.322327  -0.396431  -0.299618  -0.158104  -0.151478  -0.151478  0.526823  -7.35523e-16  0.0916667  
FP  -0.0656091  -0.0728721  -0.06501  -0.0725835  -0.110941  -0.113015  -0.113015  0.225  0.286458  -1.38778e-17  
BR  0.145452  0.186587  0.146056  0.186066  0.231697  0.237558  0.237558  0.526823  0.535417  0.3  
t = 11
CFR  -1.04083e-16  -0.05148  5.55112e-16  -0.0514943  0.0732619  0.0697934  0.0697934  0.280655  0.116911  0.0951001  
A-CFR  0.0658522  -2.70617e-16  0.0658585  4.85723e-16  0.00194864  -0.00037927  -0.00037927  0.291807  0.121622  0.0859408  
CFR_IN  2.84495e-16  -0.05148  4.05925e-16  -0.0514943  0.0732619  0.0697934  0.0697934  0.280655  0.116911  0.0951001  
A-CFR_IN  0.0658522  -2.08167e-17  0.0658585  4.23273e-16  0.00194864  -0.00037927  -0.00037927  0.291807  0.121622  0.0859408  
BPS-CFR  0.0506013  -0.00643054  0.0505735  -0.0065439  4.44089e-16  -0.00309309  -0.00309309  0.283246  0.114775  0.0953837  
TIPS-CFR  0.0480681  -0.00664879  0.0479313  -0.00676636  0.00258369  4.71845e-16  6.66134e-16  0.281782  0.113626  0.0951105  
IPS-CFR  0.0480681  -0.00664879  0.0479313  -0.00676636  0.00258369  4.30211e-16  5.55112e-16  0.281782  0.113626  0.0951105  
