learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR_IN  (0.025384, 34)  (0.0019116, 41)  (1.19262e-18, 38)  (0.227533, 45)  (0.03265, 50)  (-0.00748588, 55)  (0.00312396, 56)  (-0.0049936, 52)  (0.00817085, 66)  (0.0060637, 71)  (-0.0560283, 57)  
A-EFR_IN  (0.119486, 36)  (0.0602758, 41)  (0.195764, 38)  (0, 46)  (0.118747, 51)  (0.18189, 54)  (-0.0841578, 56)  (0.187661, 51)  (0.0677467, 65)  (0.0599439, 71)  (0.0733785, 58)  
BPS-EFR  (-0.00501174, 30)  (-0.00442817, 41)  (0.281451, 38)  (0.440047, 45)  (3.75405e-18, 51)  (0.274104, 54)  (0.210029, 54)  (0.277006, 50)  (-0.00286357, 66)  (-0.0039563, 72)  (0.227254, 56)  
TIPS-EFR  (0.0605797, 30)  (0.0242141, 42)  (0.0076765, 39)  (0.222645, 45)  (0.0688272, 50)  (1.21431e-17, 55)  (0.000158814, 56)  (0.00258587, 53)  (0.0306042, 65)  (0.0278282, 71)  (-0.0502609, 58)  
CSPS-EFR  (0.0615835, 46)  (0.0212916, 42)  (0.0909402, 39)  (0.301203, 46)  (0.0698231, 52)  (0.0823007, 54)  (-2.55872e-17, 56)  (0.0855806, 52)  (0.0273753, 66)  (0.0241127, 72)  (0.0237388, 58)  
CFPS-EFR  (0.0587629, 30)  (0.0227751, 42)  (0.00507147, 38)  (0.221799, 45)  (0.0669532, 51)  (-0.00255919, 54)  (0.000513459, 56)  (1.04083e-17, 51)  (0.0293548, 65)  (0.0266116, 70)  (-0.0524077, 59)  
CFPS-EFR_EX+IN  (-0.00130476, 30)  (-0.00193172, 42)  (0.238657, 39)  (0.419681, 45)  (0.00390538, 51)  (0.231386, 55)  (0.188423, 57)  (0.234124, 51)  (5.85469e-18, 65)  (-0.00118612, 72)  (0.184897, 59)  
TIPS-EFR_EX+IN  (7.36449e-05, 30)  (-0.000708009, 42)  (0.240498, 42)  (0.419916, 46)  (0.005276, 52)  (0.233202, 54)  (0.188519, 56)  (0.235956, 53)  (0.00123108, 66)  (5.85469e-18, 72)  (0.186471, 57)  
BEHAV-EFR  (0.189196, 30)  (0.0489306, 42)  (0.0794343, 42)  (0.19925, 45)  (0.199642, 51)  (0.069603, 54)  (-0.0146387, 56)  (0.0731988, 53)  (0.0532695, 65)  (0.0495212, 72)  (2.1684e-17, 58)  
BR  (0.294361, 20)  (0.255572, 29)  (0.980654, 29)  (0.960878, 33)  (0.299422, 35)  (0.979793, 39)  (0.822726, 39)  (0.979941, 39)  (0.266695, 46)  (0.259265, 49)  (0.977982, 43)  
t = 4
CFR  (-1.16552e-18, 31)  (0.00391486, 47)  (0.164211, 42)  (0.254438, 56)  (0.00357736, 50)  (0.15919, 72)  (0.272519, 69)  (0.161255, 58)  (0.00717687, 68)  (0.00551597, 67)  (0.150072, 71)  
CFR_EX+IN  (-0.0105836, 31)  (7.53521e-18, 49)  (0.141266, 41)  (0.22555, 56)  (-0.00754372, 51)  (0.136102, 71)  (0.240521, 70)  (0.138823, 58)  (0.00208174, 67)  (0.000799057, 69)  (0.126264, 69)  
CFR_IN  (-0.0612067, 30)  (0.00315706, 48)  (1.27123e-17, 41)  (0.0820908, 57)  (-0.0567138, 52)  (-0.00388309, 73)  (-0.0308856, 70)  (0.00017123, 58)  (-0.00101567, 68)  (-0.000696978, 69)  (0.00333692, 69)  
A-EFR_IN  (0.0324795, 30)  (0.0654623, 48)  (-0.0135065, 40)  (1.38778e-17, 58)  (0.0462133, 50)  (-0.0146195, 73)  (0.0765482, 70)  (-0.0115737, 58)  (0.0634749, 67)  (0.0607253, 67)  (-0.00575117, 71)  
BPS-EFR  (-0.00282776, 30)  (0.00140873, 48)  (0.16512, 40)  (0.257082, 57)  (-4.66207e-18, 50)  (0.160275, 71)  (0.274354, 69)  (0.16219, 58)  (0.00420715, 66)  (0.00272496, 66)  (0.150704, 71)  
TIPS-EFR  (-0.07037, 30)  (-0.00470086, 48)  (0.00813338, 39)  (0.11943, 57)  (-0.0663994, 51)  (6.93889e-18, 72)  (-0.0286572, 70)  (0.00821424, 58)  (-0.00960584, 66)  (-0.00997781, 67)  (0.00119517, 70)  
CSPS-EFR  (-0.0715329, 30)  (-0.00485525, 48)  (0.0538701, 38)  (0.111028, 56)  (-0.0673968, 51)  (0.0469351, 73)  (2.31274e-17, 69)  (0.0533716, 58)  (-0.0101246, 68)  (-0.0109693, 69)  (0.0456461, 71)  
CFPS-EFR  (-0.0706186, 30)  (-0.00484017, 47)  (-0.000154381, 38)  (0.0981495, 56)  (-0.0666507, 50)  (-0.00385165, 72)  (-0.0326151, 69)  (9.2496e-18, 58)  (-0.00983354, 67)  (-0.0101355, 68)  (0.00375324, 70)  
CFPS-EFR_EX+IN  (-0.0130077, 30)  (-0.00165974, 47)  (0.142691, 38)  (0.230154, 58)  (-0.0105097, 51)  (0.137746, 71)  (0.242816, 69)  (0.140215, 58)  (-1.73472e-18, 67)  (-0.00112916, 67)  (0.127423, 70)  
TIPS-EFR_EX+IN  (-0.0114092, 30)  (-0.000615692, 48)  (0.143542, 38)  (0.231093, 58)  (-0.00886302, 51)  (0.137829, 72)  (0.243855, 69)  (0.140995, 58)  (0.00121037, 67)  (4.93312e-18, 67)  (0.127501, 71)  
BEHAV-EFR  (0.0405913, 30)  (0.0438248, 47)  (0.0187907, 38)  (0.140756, 57)  (0.0519784, 51)  (0.00648896, 74)  (0.014633, 69)  (0.0182254, 58)  (0.0399257, 67)  (0.0347559, 69)  (1.21431e-17, 71)  
BR  (0.245469, 20)  (0.185613, 33)  (0.868116, 26)  (0.775669, 42)  (0.236535, 35)  (0.882437, 50)  (0.665213, 49)  (0.866704, 42)  (0.194572, 48)  (0.184453, 48)  (0.902404, 50)  
t = 5
CFR  (-8.94467e-18, 34)  (0.00521052, 47)  (0.143225, 50)  (0.059635, 58)  (0.00456644, 56)  (0.11447, 67)  (0.0694494, 70)  (0.138743, 64)  (0.00742733, 63)  (0.00510377, 66)  (0.0933403, 68)  
CFR_EX+IN  (-0.000973259, 33)  (-3.1984e-18, 47)  (0.124134, 50)  (0.0605045, 59)  (0.00228237, 57)  (0.0954069, 67)  (0.0489768, 71)  (0.119793, 63)  (0.0038914, 64)  (0.00143709, 66)  (0.0773162, 69)  
CFR_IN  (0.0347569, 33)  (-0.00864146, 46)  (9.1073e-18, 49)  (0.0179596, 59)  (0.0322999, 57)  (-0.00522013, 68)  (0.0167989, 69)  (-0.00108768, 63)  (0.0304114, 64)  (0.0193446, 67)  (0.00275032, 68)  
A-EFR_IN  (0.10083, 33)  (0.0966155, 46)  (0.0931188, 49)  (-3.46945e-18, 59)  (0.0984337, 57)  (0.110891, 68)  (0.0663705, 71)  (0.0618582, 63)  (0.100284, 62)  (0.0968941, 67)  (0.143332, 69)  
BPS-EFR  (-0.00298137, 33)  (0.00250911, 46)  (0.143378, 49)  (0.0634687, 58)  (1.30104e-18, 56)  (0.11382, 68)  (0.0705854, 69)  (0.138926, 61)  (0.00108824, 64)  (-7.11934e-05, 68)  (0.0925284, 68)  
TIPS-EFR  (0.0358232, 33)  (0.00582527, 46)  (0.00977986, 49)  (0.027777, 59)  (0.0321371, 56)  (-6.93889e-18, 66)  (0.017497, 68)  (0.00853788, 63)  (0.0314824, 64)  (0.0236807, 68)  (0.00231324, 67)  
CSPS-EFR  (0.0364068, 34)  (0.00856833, 46)  (0.0395926, 49)  (0.0077354, 59)  (0.0337525, 56)  (0.0284101, 67)  (5.20417e-18, 70)  (0.0355283, 62)  (0.0288398, 63)  (0.0230006, 68)  (0.020539, 68)  
CFPS-EFR  (0.036078, 34)  (0.00569285, 45)  (0.00109039, 50)  (0.0208235, 59)  (0.0322815, 57)  (-0.00422385, 68)  (0.0198294, 69)  (1.38778e-17, 63)  (0.0313884, 64)  (0.0235763, 68)  (0.00415345, 70)  
CFPS-EFR_EX+IN  (-0.00271086, 34)  (0.00012164, 45)  (0.124479, 49)  (0.0623137, 59)  (-0.000630454, 57)  (0.095344, 67)  (0.0505014, 69)  (0.120166, 62)  (1.64799e-17, 63)  (-0.00135801, 67)  (0.077914, 68)  
TIPS-EFR_EX+IN  (-0.00135038, 34)  (0.00109036, 46)  (0.125031, 47)  (0.0641856, 58)  (0.00104553, 57)  (0.0961012, 67)  (0.048649, 68)  (0.120786, 62)  (0.00161538, 65)  (-1.04083e-17, 68)  (0.0784662, 68)  
BEHAV-EFR  (0.0203005, 33)  (0.0182321, 45)  (0.0102591, 50)  (0.0379733, 59)  (0.0151514, 56)  (-0.00397032, 68)  (0.020968, 69)  (0.00867797, 63)  (0.0165702, 63)  (0.0160019, 66)  (2.60209e-18, 69)  
BR  (0.130568, 23)  (0.188113, 30)  (0.627523, 34)  (0.641571, 43)  (0.158726, 40)  (0.640641, 49)  (0.446656, 48)  (0.607786, 45)  (0.212429, 44)  (0.194557, 47)  (0.678503, 48)  
t = 6
CFR  (-6.83047e-18, 29)  (0.00151515, 39)  (-0.0195901, 57)  (0.0249081, 61)  (0.00278057, 53)  (-0.0140838, 82)  (0.0135975, 68)  (-0.0165052, 64)  (0.0116982, 65)  (0.00925235, 68)  (0.0364364, 76)  
CFR_EX+IN  (-0.000267478, 29)  (5.20417e-18, 38)  (-0.0242168, 57)  (0.00967218, 62)  (0.0015994, 54)  (-0.0139026, 82)  (0.0110851, 69)  (-0.0215543, 66)  (0.00360882, 67)  (0.00332697, 69)  (0.0366823, 77)  
CFR_IN  (-0.0185063, 29)  (0.0108254, 37)  (8.67362e-18, 57)  (0.0392156, 60)  (-0.0119468, 53)  (-0.00395602, 82)  (0.000117505, 70)  (0.00231154, 65)  (-0.0593515, 65)  (-0.038591, 67)  (0.0366003, 79)  
A-EFR_IN  (0.0650852, 29)  (0.0568365, 37)  (0.042271, 57)  (0, 61)  (0.0590424, 53)  (0.0207144, 82)  (0.0301347, 70)  (0.0223996, 64)  (0.0138957, 65)  (0.0194554, 68)  (0.0542825, 78)  
BPS-EFR  (-0.00108678, 29)  (-0.00446205, 37)  (-0.0182508, 57)  (0.0271086, 60)  (-8.67362e-18, 54)  (-0.0128552, 82)  (0.0146042, 71)  (-0.01521, 64)  (0.008305, 65)  (0.00518503, 68)  (0.0368404, 77)  
TIPS-EFR  (-0.018324, 29)  (-0.0125324, 37)  (0.000448765, 58)  (0.0291222, 61)  (-0.013749, 54)  (-1.38778e-17, 82)  (-0.00374067, 71)  (0.0026505, 64)  (-0.0605392, 65)  (-0.0459108, 70)  (0.0442107, 77)  
CSPS-EFR  (-0.0154278, 29)  (-0.0127568, 37)  (-0.0194916, 58)  (0.0149741, 61)  (-0.00974952, 53)  (-0.0292703, 81)  (-1.30104e-18, 69)  (-0.0185727, 64)  (-0.0317002, 67)  (-0.0315445, 69)  (-0.00383651, 78)  
CFPS-EFR  (-0.0181435, 28)  (-0.0128751, 37)  (-0.00224618, 57)  (0.0352648, 61)  (-0.013633, 53)  (-0.00641412, 82)  (0.00218983, 69)  (8.67362e-18, 65)  (-0.0609404, 66)  (-0.0463475, 68)  (0.0327818, 77)  
CFPS-EFR_EX+IN  (-0.00073715, 29)  (-0.0068898, 37)  (-0.0217137, 57)  (0.0107617, 60)  (-0.0014409, 54)  (-0.0114101, 82)  (0.0125048, 70)  (-0.0190974, 65)  (8.67362e-19, 64)  (-0.00117804, 68)  (0.0387327, 78)  
TIPS-EFR_EX+IN  (-0.00070036, 29)  (-0.0052044, 37)  (-0.0172831, 58)  (0.0120151, 61)  (-0.000807452, 53)  (-0.00742631, 83)  (0.0131974, 70)  (-0.0146708, 64)  (0.00119762, 65)  (-4.33681e-18, 69)  (0.0434074, 77)  
BEHAV-EFR  (0.0551938, 29)  (0.0173714, 37)  (-0.016355, 58)  (0.0199694, 61)  (-0.00546355, 53)  (-0.0232696, 82)  (-0.0134107, 69)  (-0.0140535, 63)  (-0.0158061, 66)  (-0.0130638, 69)  (3.46945e-18, 78)  
BR  (0.113123, 20)  (0.205095, 26)  (0.456736, 40)  (0.578832, 44)  (0.114408, 37)  (0.430304, 57)  (0.268412, 48)  (0.465613, 46)  (0.256697, 47)  (0.240036, 47)  (0.4719, 54)  
t = 7
CFR  (-8.13152e-18, 25)  (0.00328122, 38)  (-0.0612944, 52)  (0.0304708, 66)  (0.000729204, 55)  (-0.0508044, 77)  (-0.0103144, 71)  (-0.045839, 69)  (0.00255604, 61)  (0.0014487, 65)  (0.0218071, 80)  
CFR_EX+IN  (0.00254732, 25)  (-5.20417e-18, 38)  (-0.0432903, 53)  (0.0160613, 68)  (0.00291168, 55)  (-0.0345428, 79)  (-0.0029573, 73)  (-0.0295753, 70)  (0.00314103, 63)  (0.000729746, 65)  (0.0185951, 78)  
CFR_IN  (-0.0029774, 25)  (-0.0650965, 38)  (3.90313e-18, 53)  (-0.0231992, 67)  (-0.0212953, 54)  (0.00026646, 78)  (0.0114066, 73)  (0.00517834, 69)  (-0.0171488, 61)  (-0.0576879, 65)  (0.0109944, 77)  
A-EFR_IN  (0.0662636, 25)  (0.00167652, 38)  (0.0248171, 53)  (-3.90313e-18, 67)  (0.0513357, 55)  (0.0124992, 77)  (0.0200394, 72)  (0.0301023, 69)  (0.0412195, 63)  (0.0154348, 66)  (0.0120262, 79)  
BPS-EFR  (-0.000944737, 25)  (0.000765112, 37)  (-0.0574799, 53)  (0.0327762, 67)  (4.33681e-18, 54)  (-0.0478607, 77)  (-0.00751211, 72)  (-0.0419382, 70)  (-0.000469056, 63)  (0.000635154, 66)  (0.0215207, 78)  
TIPS-EFR  (-0.00264194, 25)  (-0.0773682, 37)  (-0.000289967, 54)  (-0.0253989, 65)  (-0.0188418, 54)  (-9.97466e-18, 77)  (0.000940413, 74)  (0.00474033, 69)  (-0.0229573, 62)  (-0.057469, 64)  (0.013203, 80)  
CSPS-EFR  (4.4879e-05, 25)  (-0.0496365, 45)  (-0.0381055, 54)  (0.00330434, 66)  (-0.0141601, 56)  (-0.0301761, 78)  (-5.20417e-18, 73)  (-0.0354328, 69)  (-0.00443715, 62)  (-0.0220486, 66)  (-0.0133705, 78)  
CFPS-EFR  (-0.00257987, 25)  (-0.0779522, 47)  (-0.00416835, 54)  (-0.0334355, 66)  (-0.0188846, 55)  (-0.00449246, 79)  (0.0111372, 73)  (-1.73472e-18, 70)  (-0.0233945, 63)  (-0.0579687, 66)  (0.00652059, 79)  
CFPS-EFR_EX+IN  (0.00117156, 25)  (-0.00462262, 38)  (-0.0394342, 54)  (0.0178922, 67)  (0.00193235, 54)  (-0.0322909, 80)  (-0.000904603, 73)  (-0.0256936, 71)  (8.23994e-18, 62)  (-0.00037118, 66)  (0.0190004, 79)  
TIPS-EFR_EX+IN  (0.00144527, 25)  (-0.00370737, 38)  (-0.0347493, 55)  (0.0212277, 67)  (0.00201787, 54)  (-0.0294549, 77)  (0.000130812, 73)  (-0.020961, 69)  (0.000970371, 64)  (-1.73472e-18, 66)  (0.0216142, 79)  
BEHAV-EFR  (0.0736853, 27)  (-0.0297943, 38)  (-0.0294447, 55)  (-0.0172998, 65)  (0.0449003, 55)  (-0.0226449, 77)  (-0.0263782, 74)  (-0.0276116, 68)  (-4.61326e-05, 62)  (-0.0130116, 64)  (0, 78)  
BR  (0.0969208, 22)  (0.251463, 26)  (0.33179, 38)  (0.518534, 46)  (0.114651, 38)  (0.297354, 57)  (0.258377, 50)  (0.348867, 50)  (0.136886, 44)  (0.166865, 46)  (0.255236, 55)  
t = 8
CFR  (4.33681e-18, 29)  (-0.00203584, 34)  (-0.105989, 49)  (0.0548226, 62)  (0.000904892, 58)  (-0.0821147, 80)  (-0.0589618, 72)  (-0.0783236, 62)  (0.00431275, 71)  (0.00310842, 71)  (0.0401634, 69)  
CFR_EX+IN  (0.00282287, 29)  (-1.73472e-17, 34)  (-0.0792424, 50)  (0.051546, 62)  (0.00182484, 59)  (-0.0592425, 80)  (-0.0429361, 75)  (-0.0566753, 63)  (0.0026922, 72)  (0.00164693, 72)  (0.0476878, 68)  
CFR_IN  (0.00218652, 28)  (0.015958, 34)  (5.20417e-18, 50)  (0.0288996, 60)  (0.00982637, 58)  (7.65805e-05, 78)  (0.000967518, 74)  (0.000951285, 62)  (0.00374495, 71)  (0.037228, 71)  (0.0404971, 69)  
