learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
t = 11
CFR  1.27356  1.22973  2.24604  0.815752  1.75936  1.57067  1.62129  2.62997  1.83809  1.429  
CFR_EX+IN  1.28612  1.2055  2.34505  0.815752  1.79976  1.57402  1.62535  2.664  1.84244  1.46725  
CFR_IN  1.26768  1.1585  2.18666  0.815554  1.80284  1.43442  1.62856  2.387  1.86218  1.47177  
A-CFR_IN  1.01049  1.05491  1.46065  0.296023  1.65283  1.23181  1.3143  1.95047  1.40023  1.36182  
BPS-CFR  1.27585  1.19405  2.40123  0.815752  1.7812  1.53645  1.63103  2.57557  1.70727  1.48064  
TIPS-CFR  1.26262  1.24317  2.16279  0.438118  1.98543  1.44026  1.65324  2.43109  1.86727  1.5899  
CSPS-CFR  1.29581  1.2204  2.26478  0.754446  2.15887  1.41395  1.57222  2.64982  1.63111  1.58644  
CFPS-CFR  1.27379  1.04735  2.2185  0.815102  1.75574  1.4279  1.65639  2.45067  1.8413  1.56944  
CFPS-CFR_EX+IN  1.27531  1.21612  2.25953  0.815752  1.85369  1.53772  1.60822  2.62757  1.7487  1.50597  
TIPS-CFR_EX+IN  1.27298  1.33639  2.25268  0.777256  2.25633  1.5228  1.59805  2.62239  1.7588  1.49882  
BR  1.78623  1.78869  2.93127  0.815752  2.51279  1.99471  2.21812  2.99941  2.21863  2.04883  
t = 12
CFR  1.171  1.11  2.51414  0.815695  1.54304  1.5379  1.32391  2.61485  1.65533  1.48558  
CFR_EX+IN  1.15451  1.11608  2.51909  0.815695  1.64808  1.53944  1.34635  2.63627  1.70718  1.49836  
CFR_IN  1.17135  0.92743  2.19527  0.815695  1.92707  1.45443  1.41149  2.38593  1.70134  1.65437  
A-CFR_IN  0.745206  0.894493  1.50706  0.296  1.63034  1.33234  1.56355  2.09111  1.66127  1.47433  
BPS-CFR  1.1762  1.11991  2.48237  0.815695  1.63401  1.48467  1.37813  2.58363  1.77376  1.57257  
TIPS-CFR  0.788569  1.19171  2.18987  0.522165  1.50094  1.37633  1.38738  2.46544  1.95253  1.48647  
