learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
TIPS-CFR_EX+IN  6.98968  6.14492  8.32072  1.72877  3.97  7.28139  6.26223  9.49767  4.10704  4.1207  
t = 18
CFR  5.66213  5.62634  9.11666  1.71108  5.0685  6.82805  7.15339  9.13473  5.27072  5.27023  
CFR_EX+IN  5.6925  5.65861  8.10193  2.59586  4.17511  8.34802  7.21011  11.6403  4.23296  4.54234  
CFR_IN  4.79274  9.57057  5.56633  2.19975  9.37581  7.8406  7.4721  6.46592  5.33112  7.4351  
A-CFR_IN  2.7723  3.60779  6.53778  1.22142  2.07891  6.29478  3.7826  2.97956  4.9404  2.24319  
BPS-CFR  4.05837  3.34453  11.2877  1.6855  4.10549  10.1411  6.72112  8.83367  2.26516  4.32812  
TIPS-CFR  8.50705  9.79585  8.21996  2.28759  10.1007  5.34798  6.10902  5.85883  6.46841  7.14214  
CSPS-CFR  8.58405  7.42683  9.69205  1.49443  9.3776  6.95249  6.76699  7.26539  8.89476  6.27039  
CFPS-CFR  10.3473  8.78529  7.00852  2.34831  9.69813  5.42012  6.72979  6.83954  7.51263  8.28074  
CFPS-CFR_EX+IN  4.11859  3.97802  6.14844  2.82283  5.47379  9.41387  6.76122  8.76146  3.57682  4.30021  
TIPS-CFR_EX+IN  6.93946  6.69883  8.55379  1.67938  3.94107  9.47579  7.60092  9.59725  4.11055  3.57686  
t = 19
CFR  6.05022  5.68133  9.07809  1.67533  4.29643  6.94997  7.45531  9.70105  3.77872  6.34716  
CFR_EX+IN  5.97751  5.65264  9.59016  2.55225  4.44099  7.42456  8.21298  10.0516  4.2667  4.27481  
CFR_IN  4.98266  9.92952  5.72702  1.89173  11.0209  7.06299  8.46915  5.83957  4.75716  6.94586  
A-CFR_IN  3.23405  3.30796  7.29731  1.22861  2.11159  6.27664  3.02579  3.3741  5.13764  2.35766  
BPS-CFR  4.73227  3.24131  9.01075  1.75024  3.57682  9.29335  8.15701  10.1285  3.57677  4.39923  
TIPS-CFR  8.5571  9.70652  9.14641  2.23842  11.3865  5.07379  6.9017  6.20403  6.05654  7.7539  
CSPS-CFR  9.36368  9.03598  10.1631  1.54055  10.2914  7.57968  5.90479  6.6597  8.36953  9.86067  
CFPS-CFR  8.93048  8.58985  7.82518  2.00313  8.38544  5.59837  7.00138  7.18947  9.28175  8.5642  
CFPS-CFR_EX+IN  5.9234  3.94427  6.5172  2.50158  3.57686  9.54934  7.1008  8.65135  3.57681  4.5862  
TIPS-CFR_EX+IN  6.5555  7.41557  8.28557  1.69096  3.97974  9.45371  8.07963  9.64334  3.98719  3.57681  
t = 20
CFR  6.49019  5.82267  8.6285  1.84485  4.26642  6.87476  8.23429  9.40229  3.72423  7.11739  
CFR_EX+IN  6.38502  5.80595  10.1513  2.46332  4.09311  7.51187  8.45346  8.82296  4.2482  4.51299  
CFR_IN  5.00054  10.1417  5.65875  2.20123  8.0681  6.9513  10.7975  6.02754  4.46964  4.94798  
