learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
BR  (1.04402, 2)  (1.07019, 3)  (1.45716, 4)  (2.2, 3)  (1.08011, 4)  (1.49618, 5)  (1.25089, 5)  (1.50683, 5)  (1.14216, 4)  (1.06706, 4)  (2.55024, 5)  
t = 7
CFR  (0, 5)  (-0.0139427, 5)  (-0.116537, 9)  (2.10772, 7)  (-0.0245739, 7)  (-0.36067, 10)  (-0.0244926, 11)  (-0.386459, 10)  (-0.0194289, 8)  (-0.00388417, 9)  (0.23517, 11)  
CFR_EX+IN  (0.0291378, 6)  (-1.11022e-16, 6)  (-0.0953445, 11)  (2.10772, 7)  (-0.0363311, 8)  (-0.339971, 12)  (0.00589676, 11)  (-0.36146, 12)  (-0.0359354, 9)  (-0.0298996, 10)  (0.231801, 13)  
CFR_IN  (0.138296, 6)  (0.0827794, 6)  (0, 10)  (2.10772, 7)  (0.0565846, 8)  (-0.227996, 12)  (0.0490228, 11)  (-0.205473, 12)  (0.0513525, 9)  (0.0127077, 10)  (0.0751344, 12)  
A-EFR_IN  (0.22295, 5)  (0.214256, 5)  (-0.044151, 10)  (0, 7)  (0.224049, 7)  (0.0951281, 11)  (0.271331, 10)  (-0.0674275, 11)  (0.24573, 8)  (0.249121, 9)  (0.494602, 12)  
BPS-EFR  (0.171882, 5)  (0.130793, 5)  (0.0116854, 9)  (2.13079, 7)  (0, 7)  (-0.205626, 10)  (-0.038759, 10)  (-0.241988, 10)  (-0.0109917, 7)  (-0.00202083, 9)  (0.305907, 12)  
TIPS-EFR  (0.334897, 6)  (0.227705, 6)  (0.197836, 11)  (2.13079, 7)  (0.262283, 8)  (5.55112e-17, 12)  (0.072365, 11)  (0.0164179, 11)  (0.165786, 8)  (0.079489, 10)  (0.134252, 13)  
CSPS-EFR  (0.236585, 6)  (0.174084, 6)  (0.112673, 11)  (2.13079, 7)  (0.150717, 8)  (-0.144085, 12)  (0, 11)  (-0.140098, 11)  (0.098426, 9)  (0.034137, 11)  (0.299471, 13)  
CFPS-EFR  (0.314215, 6)  (0.210226, 6)  (0.165167, 10)  (2.13079, 7)  (0.24271, 8)  (-0.0154881, 12)  (0.0677025, 11)  (0, 11)  (0.146912, 9)  (0.0630019, 10)  (0.117785, 13)  
CFPS-EFR_EX+IN  (0.198499, 6)  (0.136255, 6)  (0.0346521, 10)  (2.13079, 8)  (0.0232457, 8)  (-0.182723, 12)  (0.00601567, 11)  (-0.21133, 11)  (-5.55112e-17, 9)  (-0.00322839, 10)  (0.288592, 13)  
